源目录,日期,经文,分类,讲员,发布标题,正文来源
20240630雅各书1：9-18诱惑_Patrick,2024-06-30,雅各书 1:9-18,教会讲道,Patrick,雅各书 1:9-18｜诱惑,20240630-Patrick(雅各书1：9-18诱惑).docx
20240707雅各书 2：1-13_Grayson,2024-07-07,雅各书 2:1-13,教会讲道,Grayson,雅各书 2:1-13｜经文讲解,20240707-Grayson(雅各书 2：1-13).docx
20240714雅各书 1：19-27_Patrick,2024-07-14,雅各书 1:19-27,教会讲道,Patrick,雅各书 1:19-27｜经文讲解,20240714-Payrick(雅各书 1：19-27).docx
20240721雅各书 2：14-26 行为之信_Patrick,2024-07-21,雅各书 2:14-26,教会讲道,Patrick,雅各书 2:14-26｜行为之信,20240721-Patrick(雅各书 2：14-26 行为之信).docx
20240728雅各书 3：1-12 话语_Patrick,2024-07-28,雅各书 3:1-12,教会讲道,Patrick,雅各书 3:1-12｜话语,20240728雅各书 3：1-12 话语P中文.docx
20240811雅各书 3：13-18 智慧_Patrick,2024-08-11,雅各书 3:13-18,教会讲道,Patrick,雅各书 3:13-18｜智慧,20240811雅各书 3：13-18 智慧P中文.docx
20240818雅各书4：1-10 内心的战争_Patrick,2024-08-18,雅各书 4:1-10,教会讲道,Patrick,雅各书 4:1-10｜内心的战争,20240818-Patrick中文雅各书4：1-10 内心的战争.docx
20240825雅各书 5：7-13 忍耐_Patrick,2024-08-25,雅各书 5:7-13,教会讲道,Patrick,雅各书 5:7-13｜忍耐,20240825-Patrick中文雅各书 5：7-13 忍耐.docx
20240901雅各书5：13-20 祷告_Patrick,2024-09-01,雅各书 5:13-20,教会讲道,Patrick,雅各书 5:13-20｜祷告,20240901-Patrick中文雅各书5：13-20 祷告.txt
20240908马太福音16：13-18 在耶稣里的身份_Patrick,2024-09-08,马太福音 16:13-18,教会讲道,Patrick,马太福音 16:13-18｜在耶稣里的身份,20240908_马太福音16：13-18 在耶稣里的身份_P.txt
20240915约翰福音 3：16 在耶稣里的价值_Patrick,2024-09-15,约翰福音 3:16,教会讲道,Patrick,约翰福音 3:16｜在耶稣里的价值,20240915_中文约翰福音 3：16 在耶稣里的价值_P.txt
20241013使徒行传 1：1-8 被圣灵感动_Patrick,2024-10-13,使徒行传 1:1-8,教会讲道,Patrick,使徒行传 1:1-8｜被圣灵感动,20241013使徒行传 1：1-8 被圣灵感动_P.txt
20241020使徒行传 2：1-13 圣灵的浇灌_Patrick,2024-10-20,使徒行传 2:1-13,教会讲道,Patrick,使徒行传 2:1-13｜圣灵的浇灌,20241020使徒行传 2：1-13 圣灵的浇灌_P.txt
20241027使徒行传 2：40-47 圣灵的团契_Patrick,2024-10-27,使徒行传 2:40-47,教会讲道,Patrick,使徒行传 2:40-47｜圣灵的团契,20241027使徒行传 2：40-47 圣灵的团契.txt
20241103使徒行传 3：1-26 被圣灵恢复_Patrick,2024-11-03,使徒行传 3:1-26,教会讲道,Patrick,使徒行传 3:1-26｜被圣灵恢复,20241103使徒行传 3：1-26 被圣灵恢复.txt
