priority,category,recovery_target,impacted_count,impacted_articles,recommended_action,recommended_search_location,status,note
P0,missing_share_raw,data/raw/分享/神的话语如何在信徒里面运行？.txt,2,data/processed/整理后的分享文章/2026-06-11-帖撒罗尼迦前书-2-13-神的话如何在信徒里面运行.md | src/content/posts/2026-06-11-帖撒罗尼迦前书-2-13-神的话如何在信徒里面运行.md,recover_raw_file_or_manual_review,"C:/Users/caoyi/Projects/讲道整理, \\RonnieNAS\tmp\分享, old ChatGPT/Codex export folders",not_recovered,Share article source is missing under data/raw/分享.
P0,missing_share_raw,data/raw/分享/圣经所说的“魔鬼的诡计”是什么意思？.txt,2,data/processed/整理后的分享文章/2026-06-11-以弗所书-6-11-魔鬼的诡计-如何识别并抵挡属灵欺骗.md | src/content/posts/2026-06-11-以弗所书-6-11-魔鬼的诡计-如何识别并抵挡属灵欺骗.md,recover_raw_file_or_manual_review,"C:/Users/caoyi/Projects/讲道整理, \\RonnieNAS\tmp\分享, old ChatGPT/Codex export folders",not_recovered,Share article source is missing under data/raw/分享.
P0,missing_share_raw,data/raw/分享/耶稣叫我们“背起自己的十字架”到底是什么意思？.md,2,data/processed/整理后的分享文章/2026-06-11-马太福音-16-24-背起自己的十字架-舍己并跟随耶稣.md | src/content/posts/2026-06-11-马太福音-16-24-背起自己的十字架-舍己并跟随耶稣.md,recover_raw_file_or_manual_review,"C:/Users/caoyi/Projects/讲道整理, \\RonnieNAS\tmp\分享, old ChatGPT/Codex export folders",not_recovered,Share article source is missing under data/raw/分享.
P0,no_source,manual_source_identification,1,src/content/posts/2026-06-27-以弗所书-28-9耶稣为什么行神迹.md,manual_review,"local post history, live article, ChatGPT conversation, original source inbox",not_recovered,Article has no source field value.
P1,missing_share_docx,data/raw/分享/100不贫穷也不富足.docx,2,data/processed/整理后的分享文章/2026-06-05-箴言-30-1-9-不贫穷也不富足-亚古珥关于知足的祷告.md | src/content/posts/2026-06-05-箴言-30-1-9-不贫穷也不富足-亚古珥关于知足的祷告.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/114主祷文的奥秘.docx,2,data/processed/整理后的分享文章/2025-09-27-马太福音-6-9-13-主祷文-从天父关系理解祷告.md | src/content/posts/2025-09-27-马太福音-6-9-13-主祷文-从天父关系理解祷告.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/20220402 婚姻和教会.docx,2,data/processed/整理后的分享文章/2022-04-02-创世记-2-18-25-婚姻与教会-在盟约中学习彼此相爱.md | src/content/posts/2022-04-02-创世记-2-18-25-婚姻与教会-在盟约中学习彼此相爱.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/20220423_悔改.docx,2,data/processed/整理后的分享文章/2022-04-23-路加福音-24-47-悔改-蒙赦免并回转归向神.md | src/content/posts/2022-04-23-路加福音-24-47-悔改-蒙赦免并回转归向神.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/20220520_新人而非好人.docx,2,data/processed/整理后的分享文章/2022-05-20-约翰福音-3-1-15-成为新人-而不只是成为好人.md | src/content/posts/2022-05-20-约翰福音-3-1-15-成为新人-而不只是成为好人.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/20220628‗受苦的意义.docx,2,data/processed/整理后的分享文章/2022-06-28-约伯记-42-1-6-受苦的意义-从约伯的经历认识神.md | src/content/posts/2022-06-28-约伯记-42-1-6-受苦的意义-从约伯的经历认识神.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
