compare_key,local_slug,live_slug,status,local_file,live_url,local_title,live_title,local_date,live_date,local_category,live_category,local_scripture,live_scripture,local_description,live_description,local_body_length,live_body_length,note
2022-04-02-创世记-2-18-25-婚姻与教会-在盟约中学习彼此相爱,2022-04-02-创世记-2-18-25-婚姻与教会-在盟约中学习彼此相爱,2022-04-02-创世记-2-18-25-婚姻与教会-在盟约中学习彼此相爱,same,src/content/posts/2022-04-02-创世记-2-18-25-婚姻与教会-在盟约中学习彼此相爱.md,https://ronniecross.com/posts/2022-04-02-创世记-2-18-25-婚姻与教会-在盟约中学习彼此相爱/,创世记 2:18-25｜婚姻与教会：在盟约中学习彼此相爱,创世记 2:18-25｜婚姻与教会：在盟约中学习彼此相爱,2022-04-02,2022-04-02,灵命成长,灵命成长,创世记 2:18-25,创世记 2:18-25,"20210212 婚姻和教会 过去我一直有一个疑惑。在我的周围,无论是家人,亲戚,还是朋友,同学,同事,都不乏这这样一个现象。夫妻本该是世上最亲密的两个人,却为何有很多夫妻最后会变","20210212 婚姻和教会 过去我一直有一个疑惑。在我的周围,无论是家人,亲戚,还是朋友,同学,同事,都不乏这这样一个现象。夫妻本该是世上最亲密的两个人,却为何有很多夫妻最后会变",5063,5063,
2022-04-23-路加福音-24-47-悔改-蒙赦免并回转归向神,2022-04-23-路加福音-24-47-悔改-蒙赦免并回转归向神,2022-04-23-路加福音-24-47-悔改-蒙赦免并回转归向神,same,src/content/posts/2022-04-23-路加福音-24-47-悔改-蒙赦免并回转归向神.md,https://ronniecross.com/posts/2022-04-23-路加福音-24-47-悔改-蒙赦免并回转归向神/,路加福音 24:47｜悔改：蒙赦免并回转归向神,路加福音 24:47｜悔改：蒙赦免并回转归向神,2022-04-23,2022-04-23,灵命成长,灵命成长,路加福音 24:47,路加福音 24:47,"20220423 悔改 悔改是基督徒信仰的主要内涵之一。两千年前还没有基督徒、基督教这些名称,当时的人就知道信耶稣,是信悔改赦罪的道理。所以悔改是基督信仰的重要基础。 为什么世人公","20220423 悔改 悔改是基督徒信仰的主要内涵之一。两千年前还没有基督徒、基督教这些名称,当时的人就知道信耶稣,是信悔改赦罪的道理。所以悔改是基督信仰的重要基础。 为什么世人公",4855,4855,
2022-05-20-约翰福音-3-1-15-成为新人-而不只是成为好人,2022-05-20-约翰福音-3-1-15-成为新人-而不只是成为好人,2022-05-20-约翰福音-3-1-15-成为新人-而不只是成为好人,same,src/content/posts/2022-05-20-约翰福音-3-1-15-成为新人-而不只是成为好人.md,https://ronniecross.com/posts/2022-05-20-约翰福音-3-1-15-成为新人-而不只是成为好人/,约翰福音 3:1-15｜成为新人，而不只是成为好人,约翰福音 3:1-15｜成为新人，而不只是成为好人,2022-05-20,2022-05-20,灵命成长,灵命成长,约翰福音 3:1-15,约翰福音 3:1-15,"20220520 新人而非好人 经文:约翰福音3:1-15 证道内容: 约翰福音第3章讲的是尼哥底母来见耶稣的事。 【约3:1】有一个法利赛人,名叫尼哥底母,是犹太人的官。 在原文","20220520 新人而非好人 经文:约翰福音3:1-15 证道内容: 约翰福音第3章讲的是尼哥底母来见耶稣的事。 【约3:1】有一个法利赛人,名叫尼哥底母,是犹太人的官。 在原文",5021,5021,
2022-06-28-约伯记-42-1-6-受苦的意义-从约伯的经历认识神,2022-06-28-约伯记-42-1-6-受苦的意义-从约伯的经历认识神,2022-06-28-约伯记-42-1-6-受苦的意义-从约伯的经历认识神,same,src/content/posts/2022-06-28-约伯记-42-1-6-受苦的意义-从约伯的经历认识神.md,https://ronniecross.com/posts/2022-06-28-约伯记-42-1-6-受苦的意义-从约伯的经历认识神/,约伯记 42:1-6｜受苦的意义：从约伯的经历认识神,约伯记 42:1-6｜受苦的意义：从约伯的经历认识神,2022-06-28,2022-06-28,灵命成长,灵命成长,约伯记 42:1-6,约伯记 42:1-6,"从约伯记看约伯受苦的意义 (伯四十二1~6) 受苦的意义、原因成了约伯记主要的中心思想和教训。这是我们不容易明白的一件事。也可说是人间的一个难题,往往我们讲到苦难时,总是不明白人为","从约伯记看约伯受苦的意义 (伯四十二1~6) 受苦的意义、原因成了约伯记主要的中心思想和教训。这是我们不容易明白的一件事。也可说是人间的一个难题,往往我们讲到苦难时,总是不明白人为",9491,9491,
2022-07-01-马太福音-11-28-30-重新得力的秘诀-到基督里得安息,2022-07-01-马太福音-11-28-30-重新得力的秘诀-到基督里得安息,2022-07-01-马太福音-11-28-30-重新得力的秘诀-到基督里得安息,same,src/content/posts/2022-07-01-马太福音-11-28-30-重新得力的秘诀-到基督里得安息.md,https://ronniecross.com/posts/2022-07-01-马太福音-11-28-30-重新得力的秘诀-到基督里得安息/,马太福音 11:28-30｜重新得力的秘诀：到基督里得安息,马太福音 11:28-30｜重新得力的秘诀：到基督里得安息,2022-07-01,2022-07-01,灵命成长,灵命成长,马太福音 11:28-30,马太福音 11:28-30,"重新得力的秘诀 读经:马太福音11:28-29凡劳苦担重担的人,可以到我这里来,我就使你们得安息。我心里柔和谦卑,你们当负我的轭,学我的样式,这样,你们心里就必得享安息。 藉着这段","重新得力的秘诀 读经:马太福音11:28-29凡劳苦担重担的人,可以到我这里来,我就使你们得安息。我心里柔和谦卑,你们当负我的轭,学我的样式,这样,你们心里就必得享安息。 藉着这段",6821,6821,
2022-10-01-约伯记-1-1-从约伯记看约伯受苦的意义,2022-10-01-约伯记-1-1-从约伯记看约伯受苦的意义,2022-10-01-约伯记-1-1-从约伯记看约伯受苦的意义,same,src/content/posts/2022-10-01-约伯记-1-1-从约伯记看约伯受苦的意义.md,https://ronniecross.com/posts/2022-10-01-约伯记-1-1-从约伯记看约伯受苦的意义/,约伯记 1:1｜从约伯记看约伯受苦的意义,约伯记 1:1｜从约伯记看约伯受苦的意义,2022-10-01,2022-10-01,灵命成长,灵命成长,约伯记 1:1,约伯记 1:1,"从约伯记看受苦的意义 约伯记主要的中心思想和教训是受苦的意义和原因。这是我们不容易明白的一件事。往往我们讲到苦难时,总是不明白人为什么要受苦?受苦有什么意义和价值?为什么好人要受苦","从约伯记看受苦的意义 约伯记主要的中心思想和教训是受苦的意义和原因。这是我们不容易明白的一件事。往往我们讲到苦难时,总是不明白人为什么要受苦?受苦有什么意义和价值?为什么好人要受苦",6575,6575,
2022-10-29-路加福音-6-37-论断与判断的区别,2022-10-29-路加福音-6-37-论断与判断的区别,2022-10-29-路加福音-6-37-论断与判断的区别,same,src/content/posts/2022-10-29-路加福音-6-37-论断与判断的区别.md,https://ronniecross.com/posts/2022-10-29-路加福音-6-37-论断与判断的区别/,路加福音 6:37｜论断与判断的区别,路加福音 6:37｜论断与判断的区别,2022-10-29,2022-10-29,灵命成长,灵命成长,路加福音 6:37,路加福音 6:37,"论断与判断的区别 “你们不要论断人,就不被论断;你们不要定人的罪,就不被定罪.......”(路6:37) “因为,没有好树结坏果子,也没有坏树结好果子。凡树木看果子,就可以认出它","论断与判断的区别 “你们不要论断人,就不被论断;你们不要定人的罪,就不被定罪.......”(路6:37) “因为,没有好树结坏果子,也没有坏树结好果子。凡树木看果子,就可以认出它",2508,2508,
2022-12-10-路加福音-18-11-骄傲,2022-12-10-路加福音-18-11-骄傲,2022-12-10-路加福音-18-11-骄傲,same,src/content/posts/2022-12-10-路加福音-18-11-骄傲.md,https://ronniecross.com/posts/2022-12-10-路加福音-18-11-骄傲/,路加福音 18:11｜骄傲,路加福音 18:11｜骄傲,2022-12-10,2022-12-10,灵命成长,灵命成长,路加福音 18:11,路加福音 18:11,"第十一章:骄傲 所有圣经人物中,也许最令我们反感的莫过于耶稣比喻里自义的法利赛人,他求告说:“神啊,我感谢你,我不像别人,勒索、不义、奸淫,也不像这个税吏”(路18:11)。但讽刺","第十一章:骄傲 所有圣经人物中,也许最令我们反感的莫过于耶稣比喻里自义的法利赛人,他求告说:“神啊,我感谢你,我不像别人,勒索、不义、奸淫,也不像这个税吏”(路18:11)。但讽刺",3653,3653,
2023-01-14-彼得后书-3-9-提摩太前书-2-3-4-寻求神的旨意-从得救开始明白神的带领,2023-01-14-彼得后书-3-9-提摩太前书-2-3-4-寻求神的旨意-从得救开始明白神的带领,2023-01-14-彼得后书-3-9-提摩太前书-2-3-4-寻求神的旨意-从得救开始明白神的带领,same,src/content/posts/2023-01-14-彼得后书-3-9-提摩太前书-2-3-4-寻求神的旨意-从得救开始明白神的带领.md,https://ronniecross.com/posts/2023-01-14-彼得后书-3-9-提摩太前书-2-3-4-寻求神的旨意-从得救开始明白神的带领/,彼得后书 3:9；提摩太前书 2:3-4｜寻求神的旨意：从得救开始明白神的带领,彼得后书 3:9；提摩太前书 2:3-4｜寻求神的旨意：从得救开始明白神的带领,2023-01-14,2023-01-14,灵命成长,灵命成长,彼得后书 3:9；提摩太前书 2:3-4,彼得后书 3:9；提摩太前书 2:3-4,"寻求神的旨意 得救 我们经常提出的问题之一是:基督徒怎么能明白神在他生命中的旨意呢?我们大多数人认识到,神对每个信徒都有一个计划。但是,要明白这个计划究竟将如何进行,好像不是那么容","寻求神的旨意 得救 我们经常提出的问题之一是:基督徒怎么能明白神在他生命中的旨意呢?我们大多数人认识到,神对每个信徒都有一个计划。但是,要明白这个计划究竟将如何进行,好像不是那么容",10274,10274,
2023-03-31-哥林多后书-13-5-你是否真正得救-省察信心与生命果子,2023-03-31-哥林多后书-13-5-你是否真正得救-省察信心与生命果子,2023-03-31-哥林多后书-13-5-你是否真正得救-省察信心与生命果子,same,src/content/posts/2023-03-31-哥林多后书-13-5-你是否真正得救-省察信心与生命果子.md,https://ronniecross.com/posts/2023-03-31-哥林多后书-13-5-你是否真正得救-省察信心与生命果子/,哥林多后书 13:5｜你是否真正得救：省察信心与生命果子,哥林多后书 13:5｜你是否真正得救：省察信心与生命果子,2023-03-31,2023-03-31,灵命成长,灵命成长,哥林多后书 13:5,哥林多后书 13:5,"「你们总要自己省察有信心没有,也要自己试验。岂不知你们若不是可弃绝的,就有耶稣基督在你们心里吗?」(林后13:5) 现今世代有不少人自称是基督徒,并在教会聚会多年,可是他们的生活言","「你们总要自己省察有信心没有,也要自己试验。岂不知你们若不是可弃绝的,就有耶稣基督在你们心里吗?」(林后13:5) 现今世代有不少人自称是基督徒,并在教会聚会多年,可是他们的生活言",9444,9444,
