source_folder,source_file,source_sha256,scripture,scripture_confidence,slug,processed_path,post_path,first_imported_date,last_checked_date,status
20260706_马可福音10:17-31_耶稣与财主_Patrick,20260706_马可福音10:17-31_耶稣与财主_Patrick_中文.txt,013c7bc2fcb3884b7c9bd9f6c85bf8cb5639cd55d21a5cfdede5b4e3df1e6ca2,马可福音 10:17-31,high,2026-07-06-马可福音-10-17-31｜耶稣与财主,data/processed/整理后的讲道文章/2026-07-06-马可福音-10-17-31｜耶稣与财主.md,src/content/posts/2026-07-06-马可福音-10-17-31｜耶稣与财主.md,2026-07-06,2026-07-06,imported
20260706_马可福音7:24-30_耶稣与外邦妇人_Patrick,20260706_马可福音7:24-30_耶稣与外邦妇人_Patrick_中文.txt,17f316c72966dd2048c9896e217d62254d188a2511eb8bfd39165226fde1141a,马可福音 7:24-30,high,2026-07-06-马可福音-7-24-30｜耶稣与外邦妇人,data/processed/整理后的讲道文章/2026-07-06-马可福音-7-24-30｜耶稣与外邦妇人.md,src/content/posts/2026-07-06-马可福音-7-24-30｜耶稣与外邦妇人.md,2026-07-06,2026-07-06,imported
20260706_马可福音8:27-38_彼得的认信_Patrick,20260706_马可福音8:27-38_彼得的认信_Patrick_中文.txt,f3d809e19054c6bd40f2a4ef3ecf2837f663dd02e88846f5fd78cbe3fbb4b9d3,马可福音 8:27-38,high,2026-07-06-马可福音-8-27-38｜彼得的认信,data/processed/整理后的讲道文章/2026-07-06-马可福音-8-27-38｜彼得的认信.md,src/content/posts/2026-07-06-马可福音-8-27-38｜彼得的认信.md,2026-07-06,2026-07-06,imported
20260706_马可福音9:1-8_耶稣登山变像_Patrick,20260706_马可福音9:1-8_耶稣登山变像_Patrick_中文.txt,146ea4df4aee3735faacc79d082f46f18b85b454754403c5e6db4147eb48de58,马可福音 9:1-8,high,2026-07-06-马可福音-9-1-8｜耶稣登山变像,data/processed/整理后的讲道文章/2026-07-06-马可福音-9-1-8｜耶稣登山变像.md,src/content/posts/2026-07-06-马可福音-9-1-8｜耶稣登山变像.md,2026-07-06,2026-07-06,imported
20260707_马可福音10:35-45_耶稣与真正的伟大_Patrick,20260707_马可福音10:35-45_耶稣与真正的伟大_Patrick_中文.txt,86ef22619f536d215e27d345e0cbb152f7a6490bdcef2f16b2d74a467aa3fb49,马可福音 10:35-45,high,2026-07-07-马可福音-10-35-45｜耶稣与真正的伟大,data/processed/整理后的讲道文章/2026-07-07-马可福音-10-35-45｜耶稣与真正的伟大.md,src/content/posts/2026-07-07-马可福音-10-35-45｜耶稣与真正的伟大.md,2026-07-07,2026-07-07,imported
20260707_马可福音11:1-11_耶稣进入耶路撒冷_Patrick,20260707_马可福音11:1-11_耶稣进入耶路撒冷_Patrick_中文.txt,19bfaa7881bf06286189b5bcd8b38be53f930dd2844a9bfb84e1fb3296d21147,马可福音 11:1-11,high,2026-07-07-马可福音-11-1-11｜耶稣进入耶路撒冷,data/processed/整理后的讲道文章/2026-07-07-马可福音-11-1-11｜耶稣进入耶路撒冷.md,src/content/posts/2026-07-07-马可福音-11-1-11｜耶稣进入耶路撒冷.md,2026-07-07,2026-07-07,imported
20260707_马可福音12:28-34_最大的诫命_Patrick,20260707_马可福音12:28-34_最大的诫命_Patrick_中文.txt,a2e9fa95c3c22666bb6c23ba15b3ddbaa5501cdbe060f7973cd3110d5636647a,马可福音 12:28-34,high,2026-07-07-马可福音-12-28-34｜最大的诫命,data/processed/整理后的讲道文章/2026-07-07-马可福音-12-28-34｜最大的诫命.md,src/content/posts/2026-07-07-马可福音-12-28-34｜最大的诫命.md,2026-07-07,2026-07-07,imported
20260707_马可福音13:1-13_耶稣与未来_Patrick,20260707_马可福音13:1-13_耶稣与未来_Patrick_中文.txt,1a05974ec9606b1af54622edf4a57e439d6796b29a728ee6b3605b2dcfa51853,马可福音 13:1-13,high,2026-07-07-马可福音-13-1-13｜耶稣与未来,data/processed/整理后的讲道文章/2026-07-07-马可福音-13-1-13｜耶稣与未来.md,src/content/posts/2026-07-07-马可福音-13-1-13｜耶稣与未来.md,2026-07-07,2026-07-07,imported
20260708_加拉太书1:1-5_恩典的福音_Patrick,20260708_加拉太书1:1-5_恩典的福音_Patrick_中文.txt,b3dfb94abb09df26c008aeebbbf561f7334e1a4886592ee07f3d4bbc8a43772b,加拉太书 1:1-5,high,2026-07-08-加拉太书-1-1-5｜恩典的福音,data/processed/整理后的讲道文章/2026-07-08-加拉太书-1-1-5｜恩典的福音.md,src/content/posts/2026-07-08-加拉太书-1-1-5｜恩典的福音.md,2026-07-08,2026-07-08,imported
20260708_加拉太书1:11-24_被恩典改变_Patrick,20260708_加拉太书1:11-24_被恩典改变_Patrick_中文.txt,808c63d35e91225c1c0c0e803793b92692c27b35fafbf3a9edcab3df067fea9d,加拉太书 1:11-24,high,2026-07-08-加拉太书-1-11-24｜被恩典改变,data/processed/整理后的讲道文章/2026-07-08-加拉太书-1-11-24｜被恩典改变.md,src/content/posts/2026-07-08-加拉太书-1-11-24｜被恩典改变.md,2026-07-08,2026-07-08,imported
